Time,monthly mean of daily rainfall
Apr 2012,11.03133
May 2012,5.91111
Jun 2012,3.708514
Jul 2012,3.092071
Aug 2012,4.123501
Sep 2012,3.84781
Oct 2012,9.979177
Nov 2012,8.18341
Dec 2012,7.044758
Jan 2013,2.760704
Feb 2013,9.612223
Mar 2013,5.646192
Apr 2013,6.410047
May 2013,12.20276
Jun 2013,5.485571
Jul 2013,5.249604
Aug 2013,4.304854
Sep 2013,4.649774
Oct 2013,6.420663
Nov 2013,10.46838
Dec 2013,8.382248
Jan 2014,4.319879
Feb 2014,5.194323
Mar 2014,6.967102
Apr 2014,8.140898
May 2014,9.567072
Jun 2014,6.192463
Jul 2014,2.920599
Aug 2014,4.505069
Sep 2014,5.016757
Oct 2014,9.487375
Nov 2014,9.824143
Dec 2014,9.513004
Jan 2015,5.077585
Feb 2015,6.460818
Mar 2015,6.756885
Apr 2015,7.962657
May 2015,8.022641
Jun 2015,4.49762
Jul 2015,5.166831
Aug 2015,4.400907
Sep 2015,6.286122
Oct 2015,8.051685
Nov 2015,8.408101
Dec 2015,7.014053
Jan 2016,3.386282
Feb 2016,2.694645
Mar 2016,6.329987
Apr 2016,8.543179
May 2016,6.974811
Jun 2016,4.290814
Jul 2016,5.106558
Aug 2016,4.46021
Sep 2016,6.757054
Oct 2016,10.00388
Nov 2016,8.84442
Dec 2016,9.158366
Jan 2017,8.53339
Feb 2017,7.290084
Mar 2017,13.94323
Apr 2017,7.958071
May 2017,12.78167
Jun 2017,6.453517
Jul 2017,4.694552
Aug 2017,4.053817
Sep 2017,5.875005
Oct 2017,9.175642
Nov 2017,9.662773
Dec 2017,7.597912
Jan 2018,6.09014
Feb 2018,4.483501
Mar 2018,4.529095
Apr 2018,8.129767
May 2018,8.792177
Jun 2018,7.588019
Jul 2018,5.151718
Aug 2018,5.232481
Sep 2018,6.423692
Oct 2018,7.935072
Nov 2018,8.481127
Dec 2018,6.418161
Jan 2019,4.096825
Feb 2019,5.664496
Mar 2019,6.248695
Apr 2019,7.586259
May 2019,9.407584
Jun 2019,6.715238
Jul 2019,5.465775
Aug 2019,3.762441
Sep 2019,5.34523
Oct 2019,9.958772
Nov 2019,9.367795
Dec 2019,7.525687
Jan 2020,8.827655
Feb 2020,10.27861
Mar 2020,4.184525
Apr 2020,5.647458
May 2020,7.152783
Jun 2020,6.12069
Jul 2020,8.877808
Aug 2020,4.744694
Sep 2020,5.921601
Oct 2020,9.35399
Nov 2020,9.758086
Dec 2020,7.838953
Jan 2021,6.75206
Feb 2021,6.92482
